date,vnindex_close,vnindex_volume
2017-10-18,827.72,183075072
2017-10-19,828.93,143640128
2017-10-20,826.84,175594064
2017-10-23,820.04,194440928
2017-10-24,825.24,141570208
2017-10-25,830.69,120643568
2017-10-26,830.11,166979200
2017-10-27,840.37,125941128
2017-10-30,845.2,162157552
2017-10-31,837.28,159926432
2017-11-01,842.71,155016160
2017-11-02,833.09,174454672
2017-11-03,843.73,149701984
2017-11-06,849.09,128418808
2017-11-07,850.33,150854864
2017-11-08,859.7,147306864
2017-11-09,860.4,142896496
2017-11-10,868.21,150413680
2017-11-13,879.34,189223328
2017-11-14,880.9,168970992
2017-11-15,882.59,162219952
2017-11-16,892.8,169639856
2017-11-17,890.69,168092800
2017-11-20,903.55,145021168
2017-11-21,918.3,207580512
2017-11-22,932.66,181459680
2017-11-23,933.7,205442720
2017-11-24,935.57,199781760
2017-11-27,938.61,225992864
2017-11-28,941.21,323706848
2017-11-29,952.14,206121936
2017-11-30,949.93,225054864
2017-12-01,960.33,204845392
2017-12-04,970.02,253331216
2017-12-05,953.3,237787472
2017-12-06,947.64,225240032
2017-12-07,938.65,162878256
2017-12-08,940.16,153106256
2017-12-11,917.45,170116384
2017-12-12,927.25,225246304
2017-12-13,924.4,127086344
2017-12-14,935.85,154276336
2017-12-15,935.16,229591312
2017-12-18,958.06,226365936
2017-12-19,951.42,206955584
2017-12-20,953.51,174391440
2017-12-21,946.06,146809552
2017-12-22,952.32,146585760
2017-12-25,958.31,116086608
2017-12-26,965.93,135023776
2017-12-27,968.46,177754672
2017-12-28,976.72,144450688
2017-12-29,984.24,181094768
2018-01-02,995.77,173125216
2018-01-03,1005.67,212769344
2018-01-04,1019.75,235472496
2018-01-05,1012.65,267893008
2018-01-08,1022.9,236387904
2018-01-09,1033.56,290484992
2018-01-10,1038.11,341712864
2018-01-11,1048.17,288575776
2018-01-12,1050.11,320872544
2018-01-15,1063.47,256567312
2018-01-16,1062.96,294814464
2018-01-17,1034.69,294301600
2018-01-18,1050.25,256877808
2018-01-19,1062.07,279712800
2018-01-22,1087.42,246215504
2018-01-25,1104.57,445945504
2018-01-26,1115.64,261562656
2018-01-29,1109.8,263328000
2018-01-30,1110.56,287685664
2018-01-31,1110.36,313532672
2018-02-01,1099.67,233684304
2018-02-02,1105.04,173000416
2018-02-05,1048.71,248356992
2018-02-06,1011.6,364500736
2018-02-07,1040.55,208814128
2018-02-08,1023.25,161181760
2018-02-09,1003.94,200216096
2018-02-12,1041.79,162161792
2018-02-13,1059.73,158678976
2018-02-21,1087.15,165150224
2018-02-22,1076.03,185225056
2018-02-23,1102.85,177588000
2018-02-26,1114.53,221598528
2018-02-27,1119.61,175366912
2018-02-28,1121.54,213586464
2018-03-01,1115.79,207329776
2018-03-02,1121.21,188338560
2018-03-05,1093.48,252818800
2018-03-06,1120.29,210380592
2018-03-07,1112.26,240010496
2018-03-08,1124.15,186945184
2018-03-09,1123.41,205731392
2018-03-12,1126.29,197301968
2018-03-13,1133.31,208389648
